Master Campaign Id,Advertiser,Campaign Id,Campaign ID type,Campaign Start,Campaign End,Promotion Type,Promoted Program Name,Episode,Network,Air Date Time,Time Zone,Program Duration(minutes),ISCI
1,GSN,141020,VOD,04/21/2016,04/30/2016,Episode,Skin Wars,S3Ep2,GSN,04/27/2016 22:00:00,EST,60,"SW3FIRECM8H, SW3FIRECM9H, SW3FIRECM10H, SW3FIRECM8H_2"
1,GSN,141020,VOD,04/21/2016,04/30/2016,Episode,Skin Wars,S3Ep2,GSN,04/27/2016 22:00:00,PST,60,"SW3FIRECM8H, SW3FIRECM9H, SW3FIRECM10H, SW3FIRECM8H_2"
1,GSN,141020,VOD,04/21/2016,04/30/2016,Episode,Skin Wars,S3Ep2,GSN,04/27/2016 22:00:00,MST,60,"SW3FIRECM8H, SW3FIRECM9H, SW3FIRECM10H, SW3FIRECM8H_2"
1,GSN,141020,VOD,04/21/2016,04/30/2016,Episode,Skin Wars,S3Ep2,GSN,04/27/2016 21:00:00,CST,60,"SW3FIRECM8H, SW3FIRECM9H, SW3FIRECM10H, SW3FIRECM8H_2"
1,GSN,141020,VOD,04/21/2016,04/30/2016,Episode,Skin Wars,S3Ep3,GSN,05/04/2016 22:00:00,EST,60,"SW3FIRECM8H, SW3FIRECM9H, SW3FIRECM10H, SW3FIRECM8H_2"
1,GSN,141020,VOD,04/21/2016,04/30/2016,Episode,Skin Wars,S3Ep3,GSN,05/04/2016 22:00:00,PST,60,"SW3FIRECM8H, SW3FIRECM9H, SW3FIRECM10H, SW3FIRECM8H_2"
1,GSN,141020,VOD,04/21/2016,04/30/2016,Episode,Skin Wars,S3Ep3,GSN,05/04/2016 22:00:00,MST,60,"SW3FIRECM8H, SW3FIRECM9H, SW3FIRECM10H, SW3FIRECM8H_2"
1,GSN,141020,VOD,04/21/2016,04/30/2016,Episode,Skin Wars,S3Ep3,GSN,05/04/2016 21:00:00,CST,60,"SW3FIRECM8H, SW3FIRECM9H, SW3FIRECM10H, SW3FIRECM8H_2"
1,GSN,141020,VOD,04/21/2016,04/30/2016,Episode,Skin Wars,S3Ep4,GSN,05/11/2016 22:00:00,EST,60,"SW3FIRECM8H, SW3FIRECM9H, SW3FIRECM10H, SW3FIRECM8H_2"
1,GSN,141020,VOD,04/21/2016,04/30/2016,Episode,Skin Wars,S3Ep4,GSN,05/11/2016 22:00:00,PST,60,"SW3FIRECM8H, SW3FIRECM9H, SW3FIRECM10H, SW3FIRECM8H_2"
